adopted_dm,adopted_sigma,adoption_verdict,burst,chime_dm,chime_sigma,chime_status,dsa_dm,dsa_sigma,dsa_status,event_support
,,single-band evidence; adoption not automatic,casey,491.00757904300417,0.010162747919032695,PASS,,,UNCONSTRAINED,single-band
,,no new measured DM,chromatica,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,freya,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,single-band evidence; adoption not automatic,hamilton,517.9865720047801,0.010162747919032695,PASS,,,UNCONSTRAINED,single-band
,,no new measured DM,isha,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,johndoeII,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,mahi,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,oran,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,phineas,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,whitney,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,wilhelm,,,UNCONSTRAINED,,,UNCONSTRAINED,none
,,no new measured DM,zach,,,UNCONSTRAINED,,,UNCONSTRAINED,none
