burst,telescope,status,dm_reference,dm_residual,dm_absolute,sigma_method,sigma_injection,sigma_total,input_sha256,code_commit
casey,chime,PASS,491.0,0.007579043004149086,491.00757904300417,0.01,0.0018114759909541658,0.010162747919032695,79e9cba92716263d7644cafafe4d35a3ea646f18509be094033b67c6fc4440c4,2a08f697e1398bec88cc8d5554cca6425790b540
casey,dsa,UNCONSTRAINED,491.0,,,,,,5ec04b0d83f66b67209e1539a37e5b917c294784ac85ae6572116fbd319bc4df,2a08f697e1398bec88cc8d5554cca6425790b540
chromatica,chime,UNCONSTRAINED,272.0,,,,,,609a8751415323f3191ea2f45b07d6598c5336247f523eda887668f26b29b2b5,2a08f697e1398bec88cc8d5554cca6425790b540
chromatica,dsa,UNCONSTRAINED,272.0,,,,,,93658a33b0facbc3f753480ea48d216b572cc2e0f8b7adaf7f61b92fdd7fe533,2a08f697e1398bec88cc8d5554cca6425790b540
freya,chime,UNCONSTRAINED,912.0,,,,,,55561c3d9daad2023f876d62e7579ecea987b214022882a6930fe8c242d59f80,2a08f697e1398bec88cc8d5554cca6425790b540
freya,dsa,UNCONSTRAINED,912.0,,,,,,f01a33531fffd14ac86c9ae1e824b7487df5929b7a4ed735df9e496d41cae705,2a08f697e1398bec88cc8d5554cca6425790b540
hamilton,chime,PASS,518.0,-0.013427995219893471,517.9865720047801,0.01,0.0018114759909541658,0.010162747919032695,86be9081500950735bd3f5d5cdd3370f101c260501f56001bb9cc9ce439652cb,2a08f697e1398bec88cc8d5554cca6425790b540
hamilton,dsa,UNCONSTRAINED,518.0,,,,,,6693e3108b93c6c5aa560b0edf649fb4e0260f28db2532690ca9fabb726b8aff,2a08f697e1398bec88cc8d5554cca6425790b540
isha,chime,UNCONSTRAINED,411.0,,,,,,c372d6cb2ef62c1ceca28fb6f130cc6fac253bcf97087c3f0555c3f4580b9c2c,2a08f697e1398bec88cc8d5554cca6425790b540
isha,dsa,UNCONSTRAINED,411.0,,,,,,32499c0e11bed7dc774c02461c1241b5c394cd0d21d79f4bbfaebfda32b57f36,2a08f697e1398bec88cc8d5554cca6425790b540
johndoeII,chime,UNCONSTRAINED,696.0,,,,,,d5f35c8b94de82dbc080938bf8e2ce4b725d189d8e5c66ef83b3ca6c84edede6,2a08f697e1398bec88cc8d5554cca6425790b540
johndoeII,dsa,UNCONSTRAINED,696.0,,,,,,92279ca8d987e5b3b93582caf2f7116c2ac1ac4a265483b9f483aadbc53f1051,2a08f697e1398bec88cc8d5554cca6425790b540
mahi,chime,UNCONSTRAINED,960.0,,,,,,be722c48157beb989c53b209f0842e5445f08d7695cba49f23593c6b5d06d61f,2a08f697e1398bec88cc8d5554cca6425790b540
mahi,dsa,UNCONSTRAINED,960.0,,,,,,eb2e3345e0d334ea87d92d17196a96ae56345833ed4e95c2b4cc30a9d159bbf3,2a08f697e1398bec88cc8d5554cca6425790b540
oran,chime,UNCONSTRAINED,397.0,,,,,,73ca14a4d467e7a612cb5c8a9df5d1b17e4dba448e23710663dd1195b0f12092,2a08f697e1398bec88cc8d5554cca6425790b540
oran,dsa,UNCONSTRAINED,397.0,,,,,,09ae92f6434da213487ffc5f97ff22109fd883b0297b495c593334933e6fb3d0,2a08f697e1398bec88cc8d5554cca6425790b540
phineas,chime,UNCONSTRAINED,610.0,,,,,,6f2e3f4c09c131af98dc061e3788fae6817406f4239e77e91dbe209631ebccd7,2a08f697e1398bec88cc8d5554cca6425790b540
phineas,dsa,UNCONSTRAINED,610.0,,,,,,33e939485a48af97e87a410e60b3a9ddcc2ff4cd3ce25e7e03aeee6937c72f05,2a08f697e1398bec88cc8d5554cca6425790b540
whitney,chime,UNCONSTRAINED,462.0,,,,,,fb1e5c93291cf35d0b269ebfa6a63409954b4da0aac097b404b926c380f24959,2a08f697e1398bec88cc8d5554cca6425790b540
whitney,dsa,UNCONSTRAINED,462.0,,,,,,eb22ca5aa7c966335df38de5c3a07f288bcb6ce9789f74d3c0d54c347b24ce12,2a08f697e1398bec88cc8d5554cca6425790b540
wilhelm,chime,UNCONSTRAINED,602.0,,,,,,fe64e87f4a0e33b73572ea498a1b6ba2405d38a979a15dc858647b33357e7c65,2a08f697e1398bec88cc8d5554cca6425790b540
wilhelm,dsa,UNCONSTRAINED,602.0,,,,,,50b8a981bd49730d61939c1cb19f3dfa30fa12256587b6354f4a05e17476fbf3,2a08f697e1398bec88cc8d5554cca6425790b540
zach,chime,UNCONSTRAINED,262.0,,,,,,bf317648879936ce4d019f116c17e0c33a22042610e37bddceef0ba48fe40deb,2a08f697e1398bec88cc8d5554cca6425790b540
zach,dsa,UNCONSTRAINED,262.0,,,,,,be917e94d89134f699c456b9185422e8cfdbf3d935bbcf4d8b2e798d0ea12b01,2a08f697e1398bec88cc8d5554cca6425790b540
