nickname,ra,dec,z_frb,survey,engine,in_footprint,queried,raw_count,with_z_count,foreground_count,status
Zach,20h40m47.886s,+72d52m56.378s,0.043,NED,NedTapEngine,True,True,24,13,0,catalog_hits
Zach,20h40m47.886s,+72d52m56.378s,0.043,GLADE+,VizierEngine(GLADE+),True,True,293,247,0,catalog_hits
Zach,20h40m47.886s,+72d52m56.378s,0.043,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),False,True,0,0,0,no_footprint
Zach,20h40m47.886s,+72d52m56.378s,0.043,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,22948,0,0,catalog_hits
Zach,20h40m47.886s,+72d52m56.378s,0.043,CLUSTERS,ClusterEngine,True,True,0,0,0,footprint_empty
Whitney,08h58m52.92s,+73d29m27.0s,0.479,NED,NedTapEngine,True,True,50,26,4,foreground
Whitney,08h58m52.92s,+73d29m27.0s,0.479,GLADE+,VizierEngine(GLADE+),True,True,8634,8507,0,catalog_hits
Whitney,08h58m52.92s,+73d29m27.0s,0.479,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),True,True,666411,666411,1,foreground
Whitney,08h58m52.92s,+73d29m27.0s,0.479,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,0,0,0,no_footprint
Whitney,08h58m52.92s,+73d29m27.0s,0.479,CLUSTERS,ClusterEngine,True,True,2,2,0,catalog_hits
Oran,21h12m10.760s,+72d49m38.20s,0.3005,NED,NedTapEngine,True,True,23,19,0,catalog_hits
Oran,21h12m10.760s,+72d49m38.20s,0.3005,GLADE+,VizierEngine(GLADE+),True,True,240,215,0,catalog_hits
Oran,21h12m10.760s,+72d49m38.20s,0.3005,DESI_DR8_NORTH,VizierEngine(DESI_DR8_NORTH),False,True,0,0,0,no_footprint
Oran,21h12m10.760s,+72d49m38.20s,0.3005,SDSS_DR12,VizierEngine(SDSS_DR12),False,True,231136,0,0,catalog_hits
Oran,21h12m10.760s,+72d49m38.20s,0.3005,CLUSTERS,ClusterEngine,True,True,0,0,0,footprint_empty
Isha,04h45m38.64s,+70d18m26.6s,0.2505,NED,NedTapEngine,True,True,24,15,0,catalog_hits
